iter	Passed	Remaining
0	147	146997
1	152	75972
2	157	52317
3	162	40386
4	163	32633
5	168	27928
6	173	24658
7	178	22095
8	182	20044
9	185	18410
10	188	16982
11	191	15802
12	194	14777
13	197	13893
14	199	13103
15	201	12422
16	204	11816
17	206	11251
18	208	10744
19	209	10286
20	211	9875
21	213	9501
22	214	9128
23	216	8822
24	218	8532
25	220	8268
26	222	8020
27	224	7794
28	225	7561
29	228	7372
30	230	7197
31	232	7038
32	234	6882
33	236	6731
34	238	6589
35	241	6456
36	243	6330
37	245	6214
38	247	6103
39	249	5991
40	251	5889
41	253	5791
42	255	5696
43	257	5603
44	260	5518
45	262	5436
46	264	5357
47	266	5280
48	268	5208
49	270	5140
50	272	5072
51	274	5009
52	277	4949
53	279	4892
54	281	4832
55	283	4774
56	285	4718
57	287	4663
58	289	4613
59	291	4562
60	292	4503
61	294	4457
62	296	4414
63	298	4370
64	300	4328
65	302	4287
66	305	4248
67	307	4212
68	309	4180
69	311	4144
70	314	4109
71	316	4075
72	318	4044
73	320	4008
74	322	3975
75	324	3941
76	326	3909
77	328	3880
78	330	3852
79	332	3823
80	334	3795
81	336	3769
82	339	3746
83	341	3722
84	343	3696
85	345	3669
86	347	3642
87	349	3617
88	350	3591
89	352	3568
90	355	3547
91	357	3524
92	359	3503
93	361	3484
94	363	3462
95	365	3442
96	367	3421
97	369	3401
98	371	3381
99	373	3362
100	375	3344
101	377	3325
102	379	3308
103	381	3290
104	383	3271
105	385	3253
106	387	3238
107	390	3221
108	392	3205
109	394	3187
110	396	3171
111	398	3156
112	400	3142
113	402	3128
114	404	3113
115	406	3099
116	408	3085
117	411	3073
118	413	3063
119	416	3051
120	418	3039
121	420	3027
122	422	3013
123	425	3004
124	429	3004
125	433	3009
126	437	3005
127	439	2995
128	443	2991
129	445	2984
130	449	2980
131	451	2970
132	454	2963
133	456	2953
134	460	2951
135	462	2939
136	464	2927
137	466	2915
138	468	2904
139	471	2895
140	473	2885
141	476	2876
142	478	2864
143	480	2853
144	482	2842
145	484	2832
146	486	2820
147	488	2810
148	490	2799
149	491	2787
150	494	2777
151	495	2766
152	497	2755
153	499	2745
154	501	2735
155	503	2725
156	505	2716
157	508	2707
158	510	2698
159	512	2689
160	514	2679
161	516	2670
162	518	2662
163	520	2655
